City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Punta Arenas,20,CL,1630304372,86,-53.15,-70.9167,32.11,6.91
Ushuaia,20,AR,1630304384,75,-54.8,-68.3,35.26,12.66
Thompson,1,CA,1630304133,81,55.7435,-97.8558,48.36,0.0
Takoradze,100,GH,1630304385,89,4.8845,-1.7554,75.87,9.66
Jamestown,90,US,1630304384,98,42.097,-79.2353,70.18,4.0
Clyde River,61,CA,1630304111,84,70.4692,-68.5914,35.37,3.71
Salcedo,95,PH,1630304385,70,12.8105,121.4674,85.66,6.38
Saskylakh,100,RU,1630304385,97,71.9167,114.0833,38.07,6.49
Wajir,13,KE,1630304386,51,1.7471,40.0573,78.66,17.96
Esim,100,GH,1630304386,88,4.8699,-2.2405,75.88,10.13
Arraial do Cabo,40,BR,1630304386,88,-22.9661,-42.0278,67.96,3.44
Saint Anthony,1,US,1630304387,82,45.0205,-93.218,66.29,4.61
Atuona,7,PF,1630304387,75,-9.8,-139.0333,78.17,17.96
Touros,66,BR,1630304387,87,-5.1989,-35.4608,74.3,14.29
Sinnamary,100,GF,1630304388,89,5.3833,-52.95,77.63,7.4
Lake Havasu City,1,US,1630304274,28,34.4839,-114.3224,96.1,3.0
Kapaa,20,US,1630304388,76,22.0752,-159.319,80.58,9.22
Severo-Kuril'sk,97,RU,1630304388,93,50.6789,156.125,54.84,6.76
Rikitea,4,PF,1630304389,70,-23.1203,-134.9692,73.83,16.82
Port Alfred,56,ZA,1630304389,29,-33.5906,26.891,61.39,12.03
Verkhnyaya Sinyachikha,58,RU,1630304389,54,57.976,61.6673,55.99,6.51
Byron Bay,34,AU,1630304390,46,-28.65,153.6167,75.31,8.75
Bay Roberts,79,CA,1630304390,84,47.5999,-53.2648,55.33,5.99
Hilo,40,US,1630304138,80,19.7297,-155.09,76.28,5.75
Provideniya,90,RU,1630304390,93,64.3833,-173.3,48.31,11.18
Isangel,75,VU,1630304391,65,-19.55,169.2667,77.11,4.61
Jacmel,73,HT,1630304391,83,18.2342,-72.5347,80.44,2.59
Avera,75,US,1630304391,75,33.194,-82.5271,76.87,4.21
Caucayá,100,CO,1630304392,99,-0.1934,-74.7819,70.47,0.78
Scarborough,34,GB,1630304134,82,54.2797,-0.4044,57.52,4.0
Teya,100,RU,1630304392,62,60.3778,92.6267,63.0,4.5
Tuktoyaktuk,65,CA,1630304392,87,69.4541,-133.0374,42.73,11.52
Bonavista,100,CA,1630304393,94,48.6499,-53.1147,55.11,26.75
Nikolskoye,64,RU,1630304393,75,59.7035,30.7861,58.89,6.71
Hermanus,29,ZA,1630304394,62,-34.4187,19.2345,52.9,15.52
Ponta do Sol,25,PT,1630304394,74,32.6667,-17.1,73.71,6.17
Camaná,47,PE,1630304394,77,-16.6228,-72.7111,61.9,9.66
Saint Paul Harbor,1,US,1630304394,71,57.79,-152.4072,54.91,5.75
Gambēla,100,ET,1630304395,91,8.25,34.5833,74.12,0.65
Mataura,5,NZ,1630304395,76,-46.1927,168.8643,45.48,5.28
Katsuura,4,JP,1630304395,78,35.1333,140.3,87.91,14.92
Evensk,7,RU,1630304396,58,61.95,159.2333,61.99,2.44
Tuensang,95,IN,1630304396,94,26.2833,94.8333,75.85,1.25
Vaini,20,TO,1630304396,88,-21.2,-175.2,71.76,3.44
Kaitangata,4,NZ,1630304397,72,-46.2817,169.8464,43.16,12.55
Busselton,100,AU,1630304397,81,-33.65,115.3333,61.05,18.99
San Felipe,64,VE,1630304397,98,10.3399,-68.7425,70.86,1.9
Lavrentiya,100,RU,1630304397,97,65.5833,-171.0,44.22,7.09
Hashtgerd,0,IR,1630304398,18,35.9642,50.6858,84.76,7.45
Auki,99,SB,1630304398,78,-8.7676,160.7034,81.52,7.65
Valparaíso,90,CL,1630304398,93,-33.0393,-71.6273,53.24,2.3
Vao,98,NC,1630304399,63,-22.6667,167.4833,68.67,9.22
Vila Franca do Campo,42,PT,1630304399,91,37.7167,-25.4333,68.41,6.73
Narasannapeta,96,IN,1630304399,73,18.4167,84.05,84.97,9.57
Avarua,75,CK,1630304400,73,-21.2078,-159.775,73.45,10.36
Berlevåg,75,NO,1630304400,82,70.8578,29.0864,53.55,8.05
Vrútky,100,SK,1630304400,94,49.1133,18.9171,54.07,2.77
Phalaborwa,0,ZA,1630304401,65,-23.943,31.1411,58.28,4.32
Port Lincoln,16,AU,1630304401,49,-34.7333,135.8667,65.21,23.0
Khatanga,100,RU,1630304401,59,71.9667,102.5,42.66,9.75
Albany,75,US,1630304399,92,42.6001,-73.9662,72.09,4.34
Kirakira,60,SB,1630304404,79,-10.4544,161.9205,81.28,15.93
Puerto Ayora,14,EC,1630304405,93,-0.7393,-90.3518,67.55,1.99
Filingué,77,NE,1630304405,56,14.3521,3.3168,80.8,4.59
Constitución,22,CL,1630304405,95,-35.3333,-72.4167,51.58,1.16
Bluff,3,NZ,1630304406,70,-46.6,168.3333,45.81,17.96
Cap Malheureux,96,MU,1630304406,71,-19.9842,57.6142,75.47,10.0
Algiers,0,DZ,1630304406,78,36.7525,3.042,71.42,2.3
Saint George,1,US,1630304146,20,37.1041,-113.5841,88.79,1.99
Bengkulu,59,ID,1630304407,65,-3.8004,102.2655,84.81,8.19
Chui,1,UY,1630304407,95,-33.6971,-53.4616,53.94,6.98
São Filipe,42,CV,1630304407,76,14.8961,-24.4956,78.46,3.83
Stepantsevo,99,RU,1630304408,53,56.1314,41.7032,65.34,9.42
George Town,20,MY,1630304110,73,5.4112,100.3354,88.9,6.91
Margate,99,GB,1630304408,91,51.3813,1.3862,61.3,4.0
Narón,100,ES,1630304408,84,43.5167,-8.1528,63.45,4.38
Pisco,75,PE,1630304409,88,-13.7,-76.2167,58.01,2.3
Jining,100,CN,1630304409,96,35.405,116.5814,74.14,1.61
Ribeira Grande,40,PT,1630304409,94,38.5167,-28.7,72.0,5.75
Klaksvík,99,FO,1630304410,88,62.2266,-6.589,52.72,7.7
Kieta,87,PG,1630304410,81,-6.2167,155.6333,82.45,8.9
Tiksi,100,RU,1630304410,87,71.6872,128.8694,37.65,8.79
Bairiki Village,75,KI,1630304411,70,1.3292,172.9752,84.2,14.97
Portland,1,US,1630304406,71,45.5234,-122.6762,65.61,1.99
Port Elizabeth,0,ZA,1630304357,66,-33.918,25.5701,60.1,5.75
Ţahţā,0,EG,1630304411,21,26.7693,31.5021,90.28,12.03
Mehamn,100,NO,1630304411,87,71.0357,27.8492,53.51,12.95
Dhārchula,44,IN,1630304412,78,29.85,80.5333,78.96,5.55
